Time,Transmembrane_potential
6.46,-19.247816899831648
6.47,-19.247816899831648
6.48,-19.247816899831648
6.49,-19.247816899831648
6.5,-19.247816899831648
6.51,-20.034405163648422
6.5200000000000005,-20.034405163648422
6.53,-20.034405163648422
6.54,-20.034405163648422
6.55,-20.034405163648422
6.5600000000000005,-20.034405163648422
6.57,-20.034405163648422
6.58,-20.034405163648422
6.59,-20.034405163648422
6.6000000000000005,-20.034405163648422
6.61,-20.034405163648422
6.62,-20.034405163648422
6.63,-20.034405163648422
6.640000000000001,-20.034405163648422
6.65,-20.034405163648422
6.66,-20.034405163648422
6.67,-20.034405163648422
6.68,-20.034405163648422
6.69,-20.034405163648422
6.7,-20.034405163648422
6.71,-20.034405163648422
6.72,-20.034405163648422
6.73,-20.034405163648422
6.74,-20.034405163648422
6.75,-20.034405163648422
6.76,-20.034405163648422
6.7700000000000005,-20.034405163648422
6.78,-20.034405163648422
6.79,-20.034405163648422
6.8,-20.034405163648422
6.8100000000000005,-20.034405163648422
6.82,-20.034405163648422
6.83,-20.034405163648422
6.84,-20.034405163648422
6.8500000000000005,-20.034405163648422
6.86,-20.034405163648422
6.87,-20.034405163648422
6.88,-20.034405163648422
6.890000000000001,-20.034405163648422
6.9,-20.034405163648422
6.91,-20.034405163648422
6.92,-20.034405163648422
6.93,-20.034405163648422
6.94,-20.034405163648422
6.95,-20.034405163648422
6.96,-20.034405163648422
6.97,-20.034405163648422
6.98,-20.034405163648422
6.99,-20.034405163648422
7.0,-20.034405163648422
7.01,-20.08760755412461
7.0200000000000005,-20.08760755412461
7.03,-20.08760755412461
7.04,-20.08760755412461
7.05,-20.08760755412461
7.0600000000000005,-20.08760755412461
7.07,-20.08760755412461
7.08,-20.08760755412461
7.09,-20.08760755412461
7.1000000000000005,-20.08760755412461
7.11,-20.08760755412461
7.12,-20.08760755412461
7.13,-20.08760755412461
7.140000000000001,-20.08760755412461
7.15,-20.08760755412461
7.16,-20.08760755412461
7.17,-20.08760755412461
7.18,-20.08760755412461
7.19,-20.08760755412461
7.2,-20.08760755412461
7.21,-20.08760755412461
7.22,-20.08760755412461
7.23,-20.08760755412461
7.24,-20.08760755412461
7.25,-20.08760755412461
7.26,-20.08760755412461
7.2700000000000005,-20.08760755412461
7.28,-20.08760755412461
7.29,-20.08760755412461
7.3,-20.08760755412461
7.3100000000000005,-20.08760755412461
7.32,-20.08760755412461
7.33,-20.08760755412461
7.34,-20.08760755412461
7.3500000000000005,-20.08760755412461
7.36,-20.08760755412461
7.37,-20.08760755412461
7.38,-20.08760755412461
7.390000000000001,-20.08760755412461
7.4,-20.08760755412461
7.41,-20.08760755412461
7.42,-20.08760755412461
7.43,-20.08760755412461
7.44,-20.08760755412461
7.45,-20.08760755412461
7.46,-20.08760755412461
7.47,-20.08760755412461
7.48,-20.08760755412461
7.49,-20.08760755412461
7.5,-20.08760755412461
7.51,-21.678697192647178
7.5200000000000005,-21.678697192647178
7.53,-21.678697192647178
7.54,-21.678697192647178
7.55,-21.678697192647178
7.5600000000000005,-21.678697192647178
7.57,-21.678697192647178
7.58,-21.678697192647178
7.59,-21.678697192647178
7.6000000000000005,-21.678697192647178
7.61,-21.678697192647178
7.62,-21.678697192647178
7.63,-21.678697192647178
7.640000000000001,-21.678697192647178
7.65,-21.678697192647178
7.66,-21.678697192647178
7.67,-21.678697192647178
7.68,-21.678697192647178
7.69,-21.678697192647178
7.7,-21.678697192647178
7.71,-21.678697192647178
7.72,-21.678697192647178
7.73,-21.678697192647178
7.74,-21.678697192647178
7.75,-21.678697192647178
7.76,-21.678697192647178
7.7700000000000005,-21.678697192647178
7.78,-21.678697192647178
7.79,-21.678697192647178
7.8,-21.678697192647178
7.8100000000000005,-21.678697192647178
7.82,-21.678697192647178
7.83,-21.678697192647178
7.84,-21.678697192647178
7.8500000000000005,-21.678697192647178
7.86,-21.678697192647178
7.87,-21.678697192647178
7.88,-21.678697192647178
7.890000000000001,-21.678697192647178
7.9,-21.678697192647178
7.91,-21.678697192647178
7.92,-21.678697192647178
7.930000000000001,-21.678697192647178
7.94,-21.678697192647178
7.95,-21.678697192647178
7.96,-21.678697192647178
7.97,-21.678697192647178
7.98,-21.678697192647178
7.99,-21.678697192647178
8.0,-21.678697192647178
8.01,-21.591968153758287
8.02,-21.591968153758287
8.03,-21.591968153758287
8.040000000000001,-21.591968153758287
8.05,-21.591968153758287
8.06,-21.591968153758287
8.07,-21.591968153758287
8.08,-21.591968153758287
8.09,-21.591968153758287
8.1,-21.591968153758287
8.11,-21.591968153758287
8.120000000000001,-21.591968153758287
8.13,-21.591968153758287
8.14,-21.591968153758287
8.15,-21.591968153758287
8.16,-21.591968153758287
8.17,-21.591968153758287
8.18,-21.591968153758287
8.19,-21.591968153758287
8.2,-21.591968153758287
8.21,-21.591968153758287
8.22,-21.591968153758287
8.23,-21.591968153758287
8.24,-21.591968153758287
8.25,-21.591968153758287
8.26,-21.591968153758287
8.27,-21.591968153758287
8.28,-21.591968153758287
8.290000000000001,-21.591968153758287
8.3,-21.591968153758287
8.31,-21.591968153758287
8.32,-21.591968153758287
8.33,-21.591968153758287
8.34,-21.591968153758287
8.35,-21.591968153758287
8.36,-21.591968153758287
8.370000000000001,-21.591968153758287
8.38,-21.591968153758287
8.39,-21.591968153758287
8.4,-21.591968153758287
8.41,-21.591968153758287
8.42,-21.591968153758287
8.43,-21.591968153758287
8.44,-21.591968153758287
8.45,-21.591968153758287
8.46,-21.591968153758287
8.47,-21.591968153758287
8.48,-21.591968153758287
8.49,-21.591968153758287
8.5,-21.591968153758287
8.51,-25.154462580648126
8.52,-25.154462580648126
8.53,-25.154462580648126
8.540000000000001,-25.154462580648126
8.55,-25.154462580648126
8.56,-25.154462580648126
8.57,-25.154462580648126
8.58,-25.154462580648126
8.59,-25.154462580648126
8.6,-25.154462580648126
8.61,-25.154462580648126
8.620000000000001,-25.154462580648126
8.63,-25.154462580648126
8.64,-25.154462580648126
8.65,-25.154462580648126
8.66,-25.154462580648126
8.67,-25.154462580648126
8.68,-25.154462580648126
8.69,-25.154462580648126
8.700000000000001,-25.154462580648126
8.71,-25.154462580648126
8.72,-25.154462580648126
8.73,-25.154462580648126
8.74,-25.154462580648126
8.75,-25.154462580648126
8.76,-25.154462580648126
8.77,-25.154462580648126
8.78,-25.154462580648126
8.790000000000001,-25.154462580648126
8.8,-25.154462580648126
8.81,-25.154462580648126
8.82,-25.154462580648126
8.83,-25.154462580648126
8.84,-25.154462580648126
8.85,-25.154462580648126
8.86,-25.154462580648126
8.870000000000001,-25.154462580648126
8.88,-25.154462580648126
8.89,-25.154462580648126
8.9,-25.154462580648126
8.91,-25.154462580648126
8.92,-25.154462580648126
8.93,-25.154462580648126
8.94,-25.154462580648126
8.950000000000001,-25.154462580648126
8.96,-25.154462580648126
8.97,-25.154462580648126
8.98,-25.154462580648126
8.99,-25.154462580648126
9.0,-25.154462580648126
9.01,-25.154462580648126
9.02,-25.154462580648126
9.03,-25.154462580648126
9.040000000000001,-25.154462580648126
9.05,-25.154462580648126
9.06,-25.154462580648126
9.07,-25.154462580648126
9.08,-25.154462580648126
9.09,-25.154462580648126
9.1,-25.154462580648126
9.11,-25.154462580648126
9.120000000000001,-25.154462580648126
9.13,-25.154462580648126
9.14,-25.154462580648126
9.15,-25.154462580648126
9.16,-25.154462580648126
9.17,-25.154462580648126
9.18,-25.154462580648126
9.19,-25.154462580648126
9.200000000000001,-25.154462580648126
9.21,-25.154462580648126
9.22,-25.154462580648126
9.23,-25.154462580648126
9.24,-25.154462580648126
9.25,-25.154462580648126
9.26,-25.154462580648126
9.27,-25.154462580648126
9.28,-25.154462580648126
9.290000000000001,-25.154462580648126
9.3,-25.154462580648126
9.31,-25.154462580648126
9.32,-25.154462580648126
9.33,-25.154462580648126
9.34,-25.154462580648126
9.35,-25.154462580648126
9.36,-25.154462580648126
9.370000000000001,-25.154462580648126
9.38,-25.154462580648126
9.39,-25.154462580648126
9.4,-25.154462580648126
9.41,-25.154462580648126
9.42,-25.154462580648126
9.43,-25.154462580648126
9.44,-25.154462580648126
9.450000000000001,-25.154462580648126
9.46,-25.154462580648126
9.47,-25.154462580648126
9.48,-25.154462580648126
9.49,-25.154462580648126
9.5,-25.154462580648126
9.51,-23.44057220207598
9.52,-23.44057220207598
9.53,-23.44057220207598
9.540000000000001,-23.44057220207598
9.55,-23.44057220207598
9.56,-23.44057220207598
9.57,-23.44057220207598
9.58,-23.44057220207598
9.59,-23.44057220207598
9.6,-23.44057220207598
9.61,-23.44057220207598
9.620000000000001,-23.44057220207598
9.63,-23.44057220207598
9.64,-23.44057220207598
9.65,-23.44057220207598
9.66,-23.44057220207598
9.67,-23.44057220207598
9.68,-23.44057220207598
9.69,-23.44057220207598
9.700000000000001,-23.44057220207598
9.71,-23.44057220207598
9.72,-23.44057220207598
9.73,-23.44057220207598
9.74,-23.44057220207598
9.75,-23.44057220207598
9.76,-23.44057220207598
9.77,-23.44057220207598
9.78,-23.44057220207598
9.790000000000001,-23.44057220207598
9.8,-23.44057220207598
9.81,-23.44057220207598
9.82,-23.44057220207598
9.83,-23.44057220207598
9.84,-23.44057220207598
9.85,-23.44057220207598
9.86,-23.44057220207598
9.870000000000001,-23.44057220207598
9.88,-23.44057220207598
9.89,-23.44057220207598
9.9,-23.44057220207598
9.91,-23.44057220207598
9.92,-23.44057220207598
9.93,-23.44057220207598
9.94,-23.44057220207598
9.950000000000001,-23.44057220207598
9.96,-23.44057220207598
9.97,-23.44057220207598
9.98,-23.44057220207598
9.99,-23.44057220207598
10.0,-23.44057220207598
10.01,-23.09696406957598
10.02,-23.09696406957598
10.03,-23.09696406957598
10.040000000000001,-23.09696406957598
10.05,-23.09696406957598
10.06,-23.09696406957598
10.07,-23.09696406957598
10.08,-23.09696406957598
10.09,-23.09696406957598
